kid_age,kid_english_level,previous_events_attended,previous_no_shows,event_category,event_target_level,event_duration_hours,event_price_tnd,distance_km,days_until_event,is_weekend,event_is_featured,weather_rain_prob,weather_temp_c,sms_reminder_sent,attended
8,A2_ELEMENTARY,11,3,Treasure_hunt,B1_INTERMEDIATE,1.5,29,?,0,1,0,0.338,27.8,0,1
10,A1_BEGINNER,29,10,OUTDOOR_THEATER,B1_INTERMEDIATE,3,58,0.86,15,no,0,0.261,14.7,1,0
11,A2_ELEMENTARY,9,4,ENGLISH_CAMP_DAY,A1_BEGINNER,2,53,7.73,11,0,0,0.478,NA,0,0
13,B1_INTERMEDIATE,12,0,NATURE_VOCAB_WALK,B1_INTERMEDIATE,4,0,17.09,18,1,1,0.405,28.5,0,1
12,B1_INTERMEDIATE,12,1,OUTDOOR_THEATER,A2_ELEMENTARY,1,17,2.38,17,1,0,0.512,21.3,1,1
11,A2_ELEMENTARY,26,10,English_picnic,B1_INTERMEDIATE,1,54,1.35,7,1,0,0,18.5,yes,1
7,A2_ELEMENTARY,10,3,OUTDOOR_THEATER,B1_INTERMEDIATE,2,0,16.6,4,0,0,0.359,19.8,1,1
8,A2_ELEMENTARY,17,6,NATURE_VOCAB_WALK,A2_ELEMENTARY,2,56,10.27,3,0,0,0.268,24.6,0,0
8,A2_ELEMENTARY,17,10,NATURE_VOCAB_WALK,B1_INTERMEDIATE,2,44,3.96,20,0,0,0.551,16,1,0
7,A2_ELEMENTARY,25,12,OUTDOOR_THEATER,A2_ELEMENTARY,4,46,7.6,9,0,0,0.121,29.1,0,0
9,A2_ELEMENTARY,0,0,ROLE_PLAY_GAMES,A1_BEGINNER,2.5,0,4.96,11,0,0,0.468,17.7,0,0
8,A2_ELEMENTARY,28,0,nature_vocab_walk,A2_ELEMENTARY,2,0,2.84,9,1,1,0.05,31,0,1
5,A2_ELEMENTARY,9,4,NATURE_VOCAB_WALK,B1_INTERMEDIATE,1.5,18,8.25,6,0,0,0.155,21.1,0,0
12,B1_INTERMEDIATE,2,0,TREASURE_HUNT,ALL_LEVELS,1,0,3.27,15,0,0,0.496,25.8,0,0
8,A1_BEGINNER,26,2,ARTS_AND_CRAFTS,A1_BEGINNER,4,76,29.62,11,0,1,0.172,19.6,0,0
9,A1_BEGINNER,17,8,ARTS_AND_CRAFTS,A1_BEGINNER,1.5,57,0.92,15,1,0,0.208,28.4,0,0
7,A1_BEGINNER,14,2,ARTS_AND_CRAFTS,B1_INTERMEDIATE,2,29,3.75,12,0,0,0.168,25.8,1,1
5,A2_ELEMENTARY,24,3,TREASURE_HUNT,A2_ELEMENTARY,3,42,16.09,13,0,0,0.219,N/A,1,1
10,B1_INTERMEDIATE,1,0,NATURE_VOCAB_WALK,A2_ELEMENTARY,2,0,4.99,5,1,0,0.519,36.7,1,1
9,A2_ELEMENTARY,3,0,ENGLISH_CAMP_DAY,A1_BEGINNER,4,0,17.95,13,0,0,0.5,14.7,0,0
9,A1_BEGINNER,21,9,ENGLISH_PICNIC,ALL_LEVELS,3,58,4.22,5,0,0,0.515,42,0,0
7,A1_BEGINNER,9,0,TREASURE_HUNT,,2.5,0,15.98,1,1,0,0.647,24.2,1,1
9,A2_ELEMENTARY,12,6,TREASURE_HUNT,B1_INTERMEDIATE,2,80,3.47,16,1,1,0.277,14.4,0,0
10,B1_INTERMEDIATE,1,0,ARTS_AND_CRAFTS,ALL_LEVELS,3,49,1.02,3,0,0,0.573,18.8,0,1
8,A2_ELEMENTARY,15,3,english_picnic,ALL_LEVELS,2,0,16.02,27,1,0,0.165,35.5,0,0
10,B1_INTERMEDIATE,25,8,ENGLISH_PICNIC,B1_INTERMEDIATE,2,32,13.94,14,0,0,0.022,42,1,0
